Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId,Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,ProfileImageUrl,EmailHash,Age,AccountId,Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"38","78","4","There is also 5 stars of open data by Tim Berners-Lee - http://5stardata.info/","2013-05-08 23:20:57","","7","7","1139","2013-05-08 18:53:18","Dmitry Kachaev","2013-10-30 22:34:22","http://about.me/dmitrykachaev","Arlington, VA","<p>Civic Hacker - open government, open data, open source.</p>

<p>Disclaimer:
I'm former Presidential Innovation Fellow - <a href=""http://www.whitehouse.gov/innovationfellows"" rel=""nofollow"">http://www.whitehouse.gov/innovationfellows</a> working on Open Data project.</p>

<p>Views and opinions are my own.</p>
","24","24","0","","","39","467582","78","1","","","2013-05-08 22:54:01","","18","366","<p>How can one evaluate a government entity's progress in making their data open? </p>

<p>I've read the <a href=""https://public.resource.org/8_principles.html"" rel=""noreferrer"">8 Principles of Open Government Data</a>, but I'd like to know if there are tools to specifically <strong>grade</strong> an entity's legal/practical commitment to Open Data.</p>
","46","","193","","2014-01-21 12:00:07","2017-04-06 07:37:54","Open Data Scorecards?","<government><standards>","6","4","5","",""
"9","1","0","Thinking of building open data dashboard for US Government. e.g. tracking progress of agencies in releasing open data, (basic metrics on # of datasets released, types of data, etc). But can be used in any similar web/apps where you need to compare USG agencies to each other in any fashion.","2013-05-08 19:35:40","","7","7","1139","2013-05-08 18:53:18","Dmitry Kachaev","2013-10-30 22:34:22","http://about.me/dmitrykachaev","Arlington, VA","<p>Civic Hacker - open government, open data, open source.</p>

<p>Disclaimer:
I'm former Presidential Innovation Fellow - <a href=""http://www.whitehouse.gov/innovationfellows"" rel=""nofollow"">http://www.whitehouse.gov/innovationfellows</a> working on Open Data project.</p>

<p>Views and opinions are my own.</p>
","24","24","0","","","39","467582","1","1","2","","2013-05-08 18:59:12","","29","1633","<p>Specifically I'm looking for:</p>

<ul>
<li>Agency canonical names</li>
<li>Agency abbreviature/acronym</li>
<li>Hierarchy of agencies e.g. Census Bureau is
part of Department of Commerce</li>
<li>Agency logos</li>
<li>Website/social media accounts</li>
<li>HQ Address/contact info</li>
</ul>
","7","","70","","2015-03-26 20:36:33","2017-04-07 19:57:29","Is there a list of all US Government agencies and sub agencies and is it available via API?","<data-request><usa><government><api-request>","12","4","10","",""
"136","1","0","Any insights on Agency logos?","2013-05-09 17:26:13","","7","7","1139","2013-05-08 18:53:18","Dmitry Kachaev","2013-10-30 22:34:22","http://about.me/dmitrykachaev","Arlington, VA","<p>Civic Hacker - open government, open data, open source.</p>

<p>Disclaimer:
I'm former Presidential Innovation Fellow - <a href=""http://www.whitehouse.gov/innovationfellows"" rel=""nofollow"">http://www.whitehouse.gov/innovationfellows</a> working on Open Data project.</p>

<p>Views and opinions are my own.</p>
","24","24","0","","","39","467582","1","1","2","","2013-05-08 18:59:12","","29","1633","<p>Specifically I'm looking for:</p>

<ul>
<li>Agency canonical names</li>
<li>Agency abbreviature/acronym</li>
<li>Hierarchy of agencies e.g. Census Bureau is
part of Department of Commerce</li>
<li>Agency logos</li>
<li>Website/social media accounts</li>
<li>HQ Address/contact info</li>
</ul>
","7","","70","","2015-03-26 20:36:33","2017-04-07 19:57:29","Is there a list of all US Government agencies and sub agencies and is it available via API?","<data-request><usa><government><api-request>","12","4","10","",""
"158","1","0","OK, agency logos are actually in Federal Register json file (links to Amazon bucket)","2013-05-09 22:57:53","","7","7","1139","2013-05-08 18:53:18","Dmitry Kachaev","2013-10-30 22:34:22","http://about.me/dmitrykachaev","Arlington, VA","<p>Civic Hacker - open government, open data, open source.</p>

<p>Disclaimer:
I'm former Presidential Innovation Fellow - <a href=""http://www.whitehouse.gov/innovationfellows"" rel=""nofollow"">http://www.whitehouse.gov/innovationfellows</a> working on Open Data project.</p>

<p>Views and opinions are my own.</p>
","24","24","0","","","39","467582","1","1","2","","2013-05-08 18:59:12","","29","1633","<p>Specifically I'm looking for:</p>

<ul>
<li>Agency canonical names</li>
<li>Agency abbreviature/acronym</li>
<li>Hierarchy of agencies e.g. Census Bureau is
part of Department of Commerce</li>
<li>Agency logos</li>
<li>Website/social media accounts</li>
<li>HQ Address/contact info</li>
</ul>
","7","","70","","2015-03-26 20:36:33","2017-04-07 19:57:29","Is there a list of all US Government agencies and sub agencies and is it available via API?","<data-request><usa><government><api-request>","12","4","10","",""
"654","609","0","I've successfully FOIAd web traffic stats from the State Department, but haven't tried others. There's no reason why you couldn't FOIA the server logs.","2013-06-02 17:53:02","","9","9","336","2013-05-08 18:59:52","dwillis","2013-11-19 18:44:00","http://blog.thescoop.org","","<p>Interactive developer @ nytimes.com, working on political and legislative apps &amp; APIs.</p>
","1","2","0","","","47","201369","609","1","","","2013-05-24 18:37:54","","5","138","<p>I'm unable to find very much data about the usage of APIs from United States federal agencies. Which APIs that have been released have the highest traffic number in terms of queries, and/or implementation? </p>
","26","","70","","2015-03-31 18:45:08","2015-03-31 18:45:08","US Government API Usage","<data-request><usa><government><api>","1","7","3","",""
"404","399","2","This is a really broad question. Are you asking about technical best practices? Ethical best practices? Usability best practices?","2013-05-21 14:51:32","","18","18","4488","2013-05-08 19:06:34","Joe Germuska","2017-03-21 14:42:27","http://about.me/JoeGermuska","Chicago, IL","<p>Chief Nerd, <a href=""http://knightlab.northwestern.edu"" rel=""nofollow"">Northwestern University Knight Lab</a></p>

<p>Project Lead, <a href=""http://censusreporter.org"" rel=""nofollow"">Census Reporter</a></p>

<p>Interested in open source, open data, civic technology, and tools for thinking.</p>
","33","366","2","","","46","36033","399","1","","","2013-05-16 04:51:51","","2","80","<p>Clearly, government agencies should default to observing the broader trends of API producers but are there particular best practices that a government API should follow?  </p>

<p><em>(Disclaimer - I am the Sr. API Strategist for GSA)</em></p>
","175","","46","","2013-05-16 19:58:49","2013-05-30 22:53:58","Are there best practices that government API producers should follow more so than non-government API producers?","<government><api><best-practice>","2","5","","",""
"1827","1824","1","Microdata is only available to the PUMA (public use microdata area) summary level. PUMAs are created to contain about 100,000 people. That makes them a lousy solution for this question.","2014-03-31 20:19:14","","18","18","4488","2013-05-08 19:06:34","Joe Germuska","2017-03-21 14:42:27","http://about.me/JoeGermuska","Chicago, IL","<p>Chief Nerd, <a href=""http://knightlab.northwestern.edu"" rel=""nofollow"">Northwestern University Knight Lab</a></p>

<p>Project Lead, <a href=""http://censusreporter.org"" rel=""nofollow"">Census Reporter</a></p>

<p>Interested in open source, open data, civic technology, and tools for thinking.</p>
","33","366","2","","","46","36033","1824","1","","","2014-03-22 11:49:10","","5","587","<p>I am trying to do a study about New York City. I need to know different information about every block level in New York. But I couldn't find updated information. </p>

<p>I looked for specific information on : 
<a href=""http://www.census.gov/"" rel=""nofollow"">http://www.census.gov/</a> </p>

<p>I found these datasets but it seems like very old between 2000-2010. 
<a href=""http://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/"" rel=""nofollow"">http://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/</a></p>

<p>Where can I find data about demography, poverty, relevant information about NY Citizens (every block), Not just in general as shown <a href=""http://www.census.gov/geo/reference/guidestloc/st36_ny.html"" rel=""nofollow"">here</a></p>

<p>Can anyone brief me what is <a href=""http://www.census.gov/geo/reference/geoguide.html"" rel=""nofollow"">census 2010 datasets</a> ?  Is it what I need to look for ? </p>
","2514","","754","","2015-05-07 05:32:36","2015-05-07 05:32:36","Census data at every block level in US cities","<usa><data.gov><us-census>","3","2","1","",""
"1617","1453","0","Other people have essentially answered the question. FYI, the ""larger area-class of supra-metro regions"" are Combined Statistical Areas, or CSAs.","2014-02-26 20:42:53","","18","18","4488","2013-05-08 19:06:34","Joe Germuska","2017-03-21 14:42:27","http://about.me/JoeGermuska","Chicago, IL","<p>Chief Nerd, <a href=""http://knightlab.northwestern.edu"" rel=""nofollow"">Northwestern University Knight Lab</a></p>

<p>Project Lead, <a href=""http://censusreporter.org"" rel=""nofollow"">Census Reporter</a></p>

<p>Interested in open source, open data, civic technology, and tools for thinking.</p>
","33","366","2","","","46","36033","1453","1","1454","","2014-01-18 22:26:45","","13","3494","<p>I've been rooting around at the US Census Dept's Tigerline Shapefile download area through the web portal here:</p>

<p><a href=""http://www.census.gov/cgi-bin/geo/shapefiles2013/main"" rel=""nofollow noreferrer"">http://www.census.gov/cgi-bin/geo/shapefiles2013/main</a></p>

<p>And have been pretty successful at getting shapefiles for nearly all census-studied areas such as PUMA's (Public Use Microdata Areas), Counties, Census Block Groups, and so on. I have not however been successful at getting my hands on the MSA files there. There are CBSA files, which are to my knowledge a different, larger area-class of supra-metro regions.</p>

<p>I have access to census data for MSA regions, however, and was wondering where I might be able to get my hands on the MSA shapefile.</p>

<p>...</p>

<p>There is one other possibility, however. I might be confused about the definitions of MSA's and learn that MSA's and Census ""Places"", as the regional data type is called at the data access points, are the same. They also have a shapefile set called ""Urban areas"", which is quite large and therefore I'm guessing fairly granular, so maybe that could be it, I don't know.</p>

<p>I definitely <strong>do not</strong> want accidentally start making consultancy-level evaluative comments based on inaccurate information due to different areas with some overlap but not 100% identical accidentally being confused for the same area though.</p>

<p>Quick example of that:</p>

<p>Confusing ""Greater Greenville"" (50 square mile area) in 2010 for the ""City of Greenville"" (20 square mile area) and saying, given the ""growth"" from 2000's 20 square mile area population to 2010's 50 square mile area population area and thinking that the city has undergone an high-density urban revolution in just 10 years. ""Greenville is blowing up!""</p>

<p>Any change of data-series title scares me a little to a lot so definitely looking for those MSA shapefiles. Fishing for edification on the census data structure though a bit too I guess, sorry mod's you can edit if you want</p>
","1806","","1806","","2017-01-20 04:41:09","2017-04-11 19:23:56","Trying to locate US Census Shapefiles for all MSA's (Metropolitan & Micropolitan Statistical Areas)","<data.gov><city><geospatial><us-census>","4","2","1","",""
"7056","3924","0","This sounds like it may be similar to the situation for building codes. Carl Malamud has been [fighting for them to be freed](http://www.newrepublic.com/article/112871/carl-malamud-lawsuit-fight-make-building-regulations-truly-fee) for a while, but it's not something that gets a lot of people fired up.","2015-03-25 18:12:06","","18","18","4488","2013-05-08 19:06:34","Joe Germuska","2017-03-21 14:42:27","http://about.me/JoeGermuska","Chicago, IL","<p>Chief Nerd, <a href=""http://knightlab.northwestern.edu"" rel=""nofollow"">Northwestern University Knight Lab</a></p>

<p>Project Lead, <a href=""http://censusreporter.org"" rel=""nofollow"">Census Reporter</a></p>

<p>Interested in open source, open data, civic technology, and tools for thinking.</p>
","33","366","2","","","46","36033","3924","1","","","2014-10-29 02:18:27","","5","117","<p>In purchasing drugs and supplements, I've noticed that certain products are advertised as <em>Pharmaceutical Grade</em>. Wanting to know what qualifies a substance as pharmaceutical grade I did some googling and found the <a href=""http://www.usp.org"" rel=""nofollow"">USP</a>, which apparently sets drug purity standards for the FDA. But in visiting the USP website I find a USP dictionary will set me back $378.00. And the <a href=""http://store.usp.org/OA_HTML/usp2_ibeCCtpSctDspRte.jsp?section=10042&amp;minisite=10020"" rel=""nofollow""><em>Reference Standards</em></a> seems to be a comprehensive list of drugs, but instead of providing any useful info, each one is listed as a product that I can purchase for several hundred dollars.</p>

<p>openFDA label database doesn't seem to include any information on purity standards, just standard doses and dosages.</p>

<p>I'm incredulous that the definition of <em>Pharmaceutical Grade</em> for any given substance adopted by the FDA should be a secret I have to pay nearly $400 to learn. So my question is, is there some source I'm missing, either within, or outside openFDA?</p>
","3938","","2075","","2015-06-29 21:29:21","2015-06-29 21:29:21","Is there any open data FDA, or other, regarding U.S. Pharmacopoeia standards?","<data-request><data.gov><openfda>","1","1","","",""
"6994","4790","1","Does it have to be an API? Have you seen this page from DoL? http://www.bls.gov/bls/blswage.htm","2015-03-19 19:47:41","","18","18","4488","2013-05-08 19:06:34","Joe Germuska","2017-03-21 14:42:27","http://about.me/JoeGermuska","Chicago, IL","<p>Chief Nerd, <a href=""http://knightlab.northwestern.edu"" rel=""nofollow"">Northwestern University Knight Lab</a></p>

<p>Project Lead, <a href=""http://censusreporter.org"" rel=""nofollow"">Census Reporter</a></p>

<p>Interested in open source, open data, civic technology, and tools for thinking.</p>
","33","366","2","","","46","36033","4790","1","5130","","2015-03-19 16:23:22","","8","721","<p>I'm trying to find an open data source to use for estimating average salaries based on job titles and locations. I had initially considered using <a href=""http://www.glassdoor.com/api/jobsApiActions.htm"">Glassdoor's API</a>, but it seems to be too basic for my needs. </p>

<p>Searching further, I stumbled across the <a href=""http://developer.dol.gov/"">Department of Labor's dev portal</a>, but I'm having a difficult time grokking it for my specific purpose. It sounds like the data I'm looking for is tucked away in the BLS (Bureau of Labor Statistics) datasets, but there is so much information here that I can't seem to parse out what I actually need.</p>

<p>Does anyone with more detailed knowledge of the DoL's data sources be able to help me out here? Or could someone suggest a simpler API that provides this sort of data?</p>
","6010","","1511","","2015-09-29 09:40:38","2016-03-14 04:00:33","Average Job Salary by Title/Location/Etc. (US or Intl)","<data-request><data.gov><labor>","3","2","","",""
