Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,ProfileImageUrl,EmailHash,Age,AccountId
"23","1","","","2013-05-08 19:38:36","","14","274","<p>Data.gov has a lot of datasets, and a super-majority of them are mapping. Is there a way to generate a list of all datasets <em>other</em> than geodata?</p>
","5","","70","","2013-05-09 02:00:14","2015-01-29 13:20:48","How can I get a list of all non-geodata datasets on Data.gov?","<usa><data.gov>","5","0","2","","","5","143","2013-05-08 18:47:12","Waldo Jaquith","2013-06-16 18:22:22","http://waldo.jaquith.org/","Charlottesville, VA, USA","","2","0","0","","","","924253"
"1","1","2","","2013-05-08 18:59:12","","29","1633","<p>Specifically I'm looking for:</p>

<ul>
<li>Agency canonical names</li>
<li>Agency abbreviature/acronym</li>
<li>Hierarchy of agencies e.g. Census Bureau is
part of Department of Commerce</li>
<li>Agency logos</li>
<li>Website/social media accounts</li>
<li>HQ Address/contact info</li>
</ul>
","7","","70","","2015-03-26 20:36:33","2017-04-07 19:57:29","Is there a list of all US Government agencies and sub agencies and is it available via API?","<data-request><usa><government><api-request>","12","4","10","","","7","1139","2013-05-08 18:53:18","Dmitry Kachaev","2013-10-30 22:34:22","http://about.me/dmitrykachaev","Arlington, VA","<p>Civic Hacker - open government, open data, open source.</p>

<p>Disclaimer:
I'm former Presidential Innovation Fellow - <a href=""http://www.whitehouse.gov/innovationfellows"" rel=""nofollow"">http://www.whitehouse.gov/innovationfellows</a> working on Open Data project.</p>

<p>Views and opinions are my own.</p>
","24","24","0","","","39","467582"
"158","1","","","2013-05-09 17:21:19","","13","606","<p>What is average cost/effort to launch <a href=""http://ckan.org/"">CKAN</a> instance and what are operational expenses to maintain it going forward? (Assuming small size government with limited IT resources)</p>
","7","","134","","2013-05-13 01:28:29","2015-11-05 12:31:35","Cost of ownership - CKAN for city/local government or small federal agency","<government><tool-request><ckan><data-portal>","4","0","3","","","7","1139","2013-05-08 18:53:18","Dmitry Kachaev","2013-10-30 22:34:22","http://about.me/dmitrykachaev","Arlington, VA","<p>Civic Hacker - open government, open data, open source.</p>

<p>Disclaimer:
I'm former Presidential Innovation Fellow - <a href=""http://www.whitehouse.gov/innovationfellows"" rel=""nofollow"">http://www.whitehouse.gov/innovationfellows</a> working on Open Data project.</p>

<p>Views and opinions are my own.</p>
","24","24","0","","","39","467582"
"374","1","375","","2013-05-15 21:44:33","","12","1623","<p>There's <a href=""https://opendata.stackexchange.com/questions/16/is-there-a-complete-list-of-all-us-tax-exempt-nonprofits-in-machine-readable-for"">another question</a> about a list of all nonprofits, and this answer is kind of buried in the answers to that one. Also, this question came up today on the NICAR-L mailing list. It's a common question, so it seemed worth documenting here.</p>

<p>From <a href=""https://bulk.resource.org/irs.gov/eo/doc/about.html"" rel=""nofollow noreferrer"">resource.org</a>:</p>

<blockquote>
  <p>The Internal Revenue Service requires all tax-exempt organizations to
  file an annual Form 990, “Return of Organization Exempt From Income
  Tax.” The form details the revenues and expenses, assets and
  liabilities, and a wealth of information, such as the compensation of
  executives, any unrelated business income, whether the organization
  engages in lobbying activities, and the stated accomplishments of the
  organization.</p>
</blockquote>
","18","","-1","","2017-04-13 12:57:29","2015-04-14 14:13:58","Where can I get bulk access to IRS 990 filings for US non-profits","<usa><data.gov><nonprofit><irs>","3","0","3","","","18","4488","2013-05-08 19:06:34","Joe Germuska","2017-03-21 14:42:27","http://about.me/JoeGermuska","Chicago, IL","<p>Chief Nerd, <a href=""http://knightlab.northwestern.edu"" rel=""nofollow"">Northwestern University Knight Lab</a></p>

<p>Project Lead, <a href=""http://censusreporter.org"" rel=""nofollow"">Census Reporter</a></p>

<p>Interested in open source, open data, civic technology, and tools for thinking.</p>
","33","366","2","","","46","36033"
"1200","1","","","2013-10-14 17:14:47","","6","126","<p>I want to take the <a href=""http://meps.ahrq.gov/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-140"" rel=""nofollow"">2002-2009 Risk Adjustment Scores</a> of the <a href=""http://meps.ahrq.gov/mepsweb/index.jsp"" rel=""nofollow"">Medical Expenditure Panel Survey</a> and convert them to dollar amounts.</p>

<p>The <a href=""http://meps.ahrq.gov/mepsweb/data_stats/download_data/pufs/h140/h140doc.pdf"" rel=""nofollow"">documentation has a table for conversion</a>, but since there are multiple scores in the file, I do not know which to use.</p>

<p>Has anyone else done this before? All I'm looking for is an equation to get a dollar risk amount. Thank you!</p>
","24","","244","","2014-05-26 13:49:40","2014-05-26 13:49:40","How to convert risk adjustment scores into dollar amounts from the Medical Expenditure Panel Survey?","<usa><data.gov><healthcare><medical>","1","1","1","","","24","413","2013-05-08 19:09:17","Amos Budde","2016-11-15 15:14:02","","","","5","11","0","","","","1499228"
"3","1","","","2013-05-08 19:14:56","","14","92","<p>I've found a list of government forms at the US federal level by looking at the <a href=""http://www.reginfo.gov/public/do/PRAXML"">OIRA PRA Information Collections XML file</a>. Is there a list of similar forms at the state/local level for the US?</p>
","26","","193","","2013-05-09 13:38:38","2013-05-09 20:43:53","Is there a list of all municipal government forms in a machine readable format?","<usa><government>","2","4","1","","","26","622","2013-05-08 19:10:00","Clay Johnson","2014-01-16 19:31:31","","","","5","12","6","https://i.stack.imgur.com/W9TVV.jpg","","","2677547"
"609","1","","","2013-05-24 18:37:54","","5","138","<p>I'm unable to find very much data about the usage of APIs from United States federal agencies. Which APIs that have been released have the highest traffic number in terms of queries, and/or implementation? </p>
","26","","70","","2015-03-31 18:45:08","2015-03-31 18:45:08","US Government API Usage","<data-request><usa><government><api>","1","7","3","","","26","622","2013-05-08 19:10:00","Clay Johnson","2014-01-16 19:31:31","","","","5","12","6","https://i.stack.imgur.com/W9TVV.jpg","","","2677547"
"296","1","","","2013-05-12 19:36:08","","7","47","<p>I'm interested in the process of how an agency, like the EPA, GSA, or Department of State, finds a dataset they wish to release, selects it, and how they go about releasing it to the public. How do the internal processes work?</p>
","26","","","","","2013-05-12 20:07:02","How do United States federal agencies release data?","<usa><government><federal>","1","0","1","","","26","622","2013-05-08 19:10:00","Clay Johnson","2014-01-16 19:31:31","","","","5","12","6","https://i.stack.imgur.com/W9TVV.jpg","","","2677547"
"1251","1","","","2013-11-03 23:30:15","","8","63","<p>While there are some nice APIs for campaign finance at the federal level, they differ significantly.</p>

<ul>
<li><a href=""https://www.opensecrets.org/resources/create/api_doc.php"">https://www.opensecrets.org/resources/create/api_doc.php</a></li>
<li><a href=""http://developer.nytimes.com/docs/campaign_finance_api/"">http://developer.nytimes.com/docs/campaign_finance_api/</a></li>
<li><a href=""http://sunlightlabs.github.io/datacommons/"">http://sunlightlabs.github.io/datacommons/</a></li>
</ul>

<p>Have there been any attempts to define a data standard for campaign finance?</p>
","33","","244","","2014-05-26 00:34:08","2014-05-26 00:34:08","Data Standards for Campaign Finance","<data.gov><standards><elections>","1","0","","","","33","3390","2013-05-08 19:12:02","fgregg","2017-04-23 03:11:12","","","","28","357","3","","","","34687"
"443","1","499","","2013-05-21 00:04:35","","5","266","<p>The <a href=""http://project-open-data.github.io/policy-memo/"" rel=""nofollow"">U.S. Government Policy on Open Data Memo</a> directs agencies to take into account the ""mosaic effect.""</p>

<p>Theoretically, it seems like the mosaic effect could justify the restriction of almost any data. If the mosaic effect is used to justify a data restriction, will there be any means of appeal?</p>
","33","","102","","2013-05-21 22:47:59","2013-05-30 04:26:54","Appealing a ""Mosaic Effect"" restriction?","<usa><government><mosaic-effect>","4","1","1","","","33","3390","2013-05-08 19:12:02","fgregg","2017-04-23 03:11:12","","","","28","357","3","","","","34687"
