Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"22939005","1","","","2014-04-08 13:46:12","","0","66","<p>My document structure is as below</p>

<pre><code>  ""options"" : {
    ""fruit"" : {
      ""is"" : false,
    }
    ""vegetable"" :{
     ""is"":true,
    }
  }
</code></pre>

<p>I want to pick up all basket items which are vegetable ONLY</p>

<p>I tried</p>

<pre><code>{""options.vegetable.is"":""true""} //not working
{""options"":""vegetable""} // not working
</code></pre>

<p>I am using MongoVUE and trying with $eleMatch but still getting the syntax error..</p>
","269867","","","","","2014-04-08 13:56:59","how to query a nested document in mongo","<mongodb><mongovue>","0","2","","",""
"39738139","1","","","2016-09-28 04:36:21","","0","59","<p><code>WSO2</code> has given a latest fix for <code>Governance Registry5.3.0</code>(Governance <code>REST API</code> Update issue). While building a code for applying a fix the below error is thrown.</p>

<p>Error when building code using <code>Maven</code>.</p>

<pre><code>[ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:2.3.1:compile (default-compile) on project  org.wso2.carbon.governance.api: Compilation failure: Compilation failure:
[ERROR] \Users\a596500\Downloads\carbon-governance-master\components\governance\org.wso2.carbon.governance.api\src\main\java\org\wso2\carbon\governance\api\util\CheckpointTimeUtils.java:[22,30] error: package org.apache.commons.lang does not exist
[ERROR] Failed to execute goal on project org.wso2.carbon.governance.api: Could not resolve dependencies for projectorg.wso2.carbon.governance:org.wso2.carbon.governance.api:bundle:4.7.2-SNAPSHOT: The following artifacts could not beresolved: org.wso2.carbon.registry:org.wso2.carbon.registry.extensions:jar:4.6.1-SNAPSHOT, org.wso2.carbon.registry:org.wso2.carbon.registry.common:jar:4.6.1-SNAPSHOT, org.wso2.carbon.registry:org.wso2.carbon.registry.admin.api:jar:4.6.1-SNAPSHOT
org.wso2.carbon.registry:org.wso2.carbon.registry.indexing:jar:4.6.1-SNAPSHOT: Could not find artifact org.wso2.carbon.registry:org.wso2.carbon.registry.extensions:jar:4.6.1-SNAPSHOT in nexuspro-level0 (https://repo.fmr.com/content/groups/level0/)
</code></pre>
","6662576","","472495","","2016-11-13 13:21:15","2016-11-13 13:21:15","Maven issue while Building for a latest fix given by WSO2","<maven><wso2><wso2greg><governance-registry>","1","3","1","",""
"32287642","1","","","2015-08-29 15:25:40","","0","215","<p>I have a mongo db instance running in a linux box and i am trying to connect to it from my windows box. When I enable authentication, I keep getting </p>

<blockquote>
  <p>Invalid credential for database 'admin'..</p>
</blockquote>

<p>my user setup looks like</p>

<blockquote>
  <blockquote>
    <p>show users
    {
            ""_id"" : ""test.myuser"",
            ""user"" : ""myuser"",
            ""db"" : ""admin"",
            ""roles"" : [
                    {
                            ""role"" : ""readWrite"",
                            ""db"" : ""admin""
                    },
                    {
                            ""role"" : ""userAdminAnyDatabase"",
                            ""db"" : ""admin""
                    }
            ]
    }</p>
  </blockquote>
</blockquote>

<p>From the shell in my linux box if i do ""mongo -u myuser -p password --authenticationDatabase  admin"" i am able to login. I am tring to use MongoVue and RoboMongo and both fails. I tried creating the same user in test database. The log says</p>

<blockquote>
  <p>2015-08-29T11:16:52.797-0400 I ACCESS   [conn24] Failed to authenticate myuser@test with mechanism MONGODB-CR: AuthenticationFailed MONGODB-CR credentials missing in the user document</p>
</blockquote>

<p>Looks like the client has not passed on the credentials. Any idea how to achieve this?</p>
","3437575","","","","","2015-11-13 10:57:28","Mongo 3.0.5 unable to connect from external client","<mongodb><robomongo><mongovue>","2","1","","",""
"39978752","1","","","2016-10-11 13:45:29","","1","44","<p><a href=""https://i.stack.imgur.com/X7Lg5.png"" rel=""nofollow""><img src=""https://i.stack.imgur.com/X7Lg5.png"" alt=""enter image description here""></a></p>

<p>I’m uploading new artifacts in Greg trying to referrer an existing. For example, I have A.xsd, B.xsd and C.xsd on Greg , and I’m uploading a WSDL referring them but it doesn’t work.  A have other scenarios with xsd, wadl and other artifacts. 
Is it a bug ? If yes this is serious because it is a Governance tool.
I have used these references:
<a href=""https://docs.wso2.com/display/Governance501/Uploading+Schemas+with+Imports+from+Local+Filesystem+into+Governance+Registry"" rel=""nofollow"">https://docs.wso2.com/display/Governance501/Uploading+Schemas+with+Imports+from+Local+Filesystem+into+Governance+Registry</a>
<a href=""https://docs.wso2.com/display/Governance501/Creating+a+Governance+Archive"" rel=""nofollow"">https://docs.wso2.com/display/Governance501/Creating+a+Governance+Archive</a></p>
","6750377","","6750377","","2016-10-24 23:42:48","2016-10-24 23:42:48","New artifact referencing an existing - Governance Issue","<dependencies><wso2><wso2greg><governance-registry><soa-governance>","1","1","","",""
"36870608","1","","","2016-04-26 16:26:23","","-1","519","<p>Visitors get a Mysql error when a mysql user has exceeded the max_user_connections, returning the current value as 30,  but max_connections and max_user_connections are set to 1000. When the problem occurs, the CPU reaches almost 98 %. </p>

<p>On mysql error logs we received a lot of access denied errors from another user, around 5000 denied connections. My problem is not why the PHP script takes all these connections, but to know why the configured variables, max_user_connections and max_connections are not applied. Those are configured to 1000, but the error message returns 30. How it is possible ? </p>

<p>I activated log_warnings=2, to get more information, but we don't get an extra information. Any idea why this behavior ? or How to audit mysql to find the source of this problem ?</p>

<p>The error message received is :</p>

<p>Error!: SQLSTATE[42000] [1226] User ‘some_user’ has exceeded the     ‘max_user_connections’ resource (current value: 30)</p>

<pre><code>select @@session.max_user_connections, @@global.max_connections;
+--------------------------------+--------------------------+
| @@session.max_user_connections | @@global.max_connections |
+--------------------------------+--------------------------+
|                           1000 |                     1000 |
+--------------------------------+--------------------------+` 

 show global variables like '%connections%';
+-----------------------+-------+
| Variable_name         | Value |
+-----------------------+-------+
| extra_max_connections | 1     |
| max_connections       | 1000  |
| max_user_connections  | 1000  |
+-----------------------+-------+

 show status like '%connected%';
 +-------------------+-------+
 | Variable_name     | Value |
 +-------------------+-------+
 | Threads_connected | 4     |
 +-------------------+-------+

 select user,max_user_connections from mysql.user where          host='localhost'\G

 user: some_user
 max_user_connections: 0
 user: another_user
 max_user_connections: 0`
</code></pre>

<p>The error seems to be : 
 Error: 1226 SQLSTATE: 42000 (ER_USER_LIMIT_REACHED)</p>

<p>Message: User '%s' has exceeded the '%s' resource (current value: %ld) </p>

<p>and not : </p>

<p>Error: 1203 SQLSTATE: 42000 (ER_TOO_MANY_USER_CONNECTIONS)</p>

<p>Message: User %s already has more than 'max_user_connections' active connections   </p>

<p>We are using MariaDB, version :</p>

<pre><code>  select version(); 
  +------------------------+
  | version()              |
  +------------------------+
  | 5.5.44-MariaDB-cll-lve |
  +------------------------+
</code></pre>
","3046261","","3046261","","2016-04-28 04:43:08","2016-04-28 04:43:08","Error!: SQLSTATE[42000] [1226] ‘max_user_connections’ resource (current value: 30), but max_user_connections is configured to 1000","<mariadb><resource-governor>","1","7","","",""
"31674302","1","","","2015-07-28 10:57:11","","1","462","<p>I am using Resource Governor on my production database for restriction to maximum CPU usage. But it couldnt work efficiently. I am using same structure on different servers and it work correctly. Only difference between servers is CPU count.
My OS version is Windows Server 2012 R2 and my MS SQL Server version is ""Microsoft SQL Server 2014 - 12.0.2495.0 (X64) 
    Mar 31 2015 09:47:37 
    Copyright (c) Microsoft Corporation
    Enterprise Edition: Core-based Licensing (64-bit) on Windows NT 6.3  (Build 9600: ) (Hypervisor)
""
My classifier function script is below:</p>

<pre><code>USE [master]
GO
/****** Object:  UserDefinedFunction [dbo].[rgclassifier_MAX_CPU]    Script Date: 28.7.2015 13:24:29 ******/
SET ANSI_NULLS ON
GO
SET QUOTED_IDENTIFIER ON
GO
ALTER FUNCTION [dbo].[rgclassifier_MAX_CPU]() RETURNS sysname 
WITH SCHEMABINDING
AS
BEGIN
    DECLARE @workload_group_name AS sysname
      IF (ORIGINAL_DB_NAME() = 'DeFacto' )
          SET @workload_group_name = 'gMAX_CPU_PERCENT_60'
    RETURN @workload_group_name
END;
</code></pre>

<p>My resource pool script is below:</p>

<pre><code>USE [master]
GO

/****** Object:  ResourcePool [pMAX_CPU_PERCENT_60]    Script Date: 28.7.2015 13:24:21 ******/
CREATE RESOURCE POOL [pMAX_CPU_PERCENT_60] WITH(min_cpu_percent=0, 
        max_cpu_percent=60, 
        min_memory_percent=0, 
        max_memory_percent=100, 
        cap_cpu_percent=100, 
        AFFINITY SCHEDULER = AUTO
, 
        min_iops_per_volume=0, 
        max_iops_per_volume=0)

GO
</code></pre>

<p>My final description script is below:</p>

<pre><code>USE [master]
GO

ALTER RESOURCE GOVERNOR WITH (CLASSIFIER_FUNCTION = [dbo].[rgclassifier_MAX_CPU]);
GO

ALTER RESOURCE GOVERNOR WITH (MAX_OUTSTANDING_IO_PER_VOLUME = DEFAULT);
GO

ALTER RESOURCE GOVERNOR RECONFIGURE;
GO
</code></pre>

<p>İt doesnt restrict max CPU Usage. I set default max_cpu_percent is %60 but sometimes it use %100 percent. Thus, we can not access the system properly.
This is the error message from my event log:
""Failed to run resource governor classifier user-defined function 'dbo.rgclassifier_MAX_CPU'. Last error 8525, state 1. See previous errors in SQL Server error log from session ID 538 for details.  Classifier elapsed time: 0 ms."" Could you help me?</p>
","4547775","","4547775","","2015-07-30 05:29:33","2015-07-30 05:29:33","Resource Governor is not running correctly","<event-log><sql-server-2014><resource-governor>","0","3","","",""
"28637624","1","","","2015-02-20 20:27:44","","8","7757","<p>We are using mongo client tools such as Robomongo and MongoVUE from our windows/mac machines. On the mongodb server side, we decided to try out the new MongoDB 3.0.0rc8 with wiredtiger storage. However, we find that we are not able to list any collections from our client tools and mongo shell. If we login to the server box running mongodb, and then start a mongo shell, then we are able to view the collections.
Is this a known problem - that the existing tools like Robomongo and MongoVUE which have been supporting up to 2.6.X are not yet supporting mongodb 3.0.0? 
Is there any mongo client that supports version 3.0.0?</p>

<p>Thanks and Regards,
Archanaa Panda</p>
","4473320","","","","","2016-06-15 16:30:27","mongodb version 3.0.0 client robomongo mongovue","<mongodb><mongovue><robomongo>","5","1","1","",""
"3571520","1","3856743","","2010-08-26 01:48:13","","45","4050","<p>I stumbled across <a href=""http://www.nws.noaa.gov/xml/"" rel=""noreferrer"">NOAA's SOAP Service</a> and it got me thinking.  What other <a href=""http://en.wikipedia.org/wiki/E-Government"" rel=""noreferrer"">eGovernment</a> services are provided to Business and the general public by Governments?   I know the United States has a lot APIs,  but what about other governments like the European Union.  I am interested in not just SOAP but any Remote Procedure Call (RPC) service available to the public over the internet.  I am interested in more than just data sources,  but other types of APIs as well. </p>
","183528","","21441","","2010-09-10 02:59:55","2015-09-18 17:28:13","What public APIs are provided by Governments to the public?","<api><soap><xml-rpc><rpc><egovernment>","9","1","29","",""
"21032316","1","22944287","","2014-01-09 22:12:02","","1","2064","<p>I'm trying to insert multiple documents using MongoVUE by passing an array of documents in the Insert Document window. For example:</p>

<pre><code> [ {""name"": ""Kiran"", age: 20}, {""name"": ""John"", ""age"": 31} ]    
</code></pre>

<p>However, I kept getting the following error: </p>

<pre><code>ReadStartDocument can only be called when CurrentBsonType is Document, not when CurrentBsonType is Array    
</code></pre>

<p>Does anyone know how to do bulk insert in MongoVUE?</p>

<p>Thanks!</p>
","1469692","","","","","2014-04-08 17:35:01","MongoVUE Bulk Insert","<bulkinsert><mongovue>","1","0","","",""
"21100256","1","","","2014-01-13 19:58:28","","3","1310","<p>I have a MongoDB aggregation that looks like this:</p>

<pre><code>[
    {
        ""$match"": [
            {""Created"": {""$gte"": ISODate(""2014-01-10T00:00:00Z"")}}
        ]
    },
    {
        ""$group"":
        {
            ""_id"": [
                {""year"": {""$year"": ""Created""}},
                {""month"": {""$month"": ""Created""}},
                {""day"": {""$dayOfMonth"": ""Created""}}
            ],
            ""count"": {""$sum"": 1}
        }
    }
]
</code></pre>

<p>When I run this query in MongoVUE, it returns the following error:</p>

<pre>Incorrect syntax in pipeline
Each item in the pipeline must be a document
Type: System.Exception
Stack:    at MangoUI.ComAggregate.kRemove_Click(Object sender, EventArgs e)</pre>

<p>I'm completely stumped, and from my Googling so is the rest of the Intenet-at-large. The query worked correctly before I added the date created $match operator. It's possible that the error belongs to MongoVUE and not MongoDB itself.</p>

<p>The relevant portion of the schema looks like this:</p>

<pre><code>{
  ""_id"" : new BinData(3, ""m13wFpp9gUi09cRCuG43aw==""),
  ""Created"" : ISODate(""2013-12-19T01:00:20.972Z"")
}
</code></pre>

<p>Can anybody help me find the cause of this error? I'm afraid I'm completely stumped.</p>

<hr>

<p>I'm not allowed to answer my own question (because apparently it's utterly impossible to find the answer yourself in under 8 hours if your StackOverflow reputation is too low? Huh?) So I'm posting the answer below:</p>

<p>Ok I found the answer, as far as I can determine it is indeed a bug (or at least an omission and a misleading error message) in MongoVUE. Writing the same query (with orid's modifications to it) in this way works:</p>

<pre><code>{
  ""$match"": {
    ""Created"": {
      ""$gte"": ISODate(""2014-01-10T00:00:00Z"")
    }
  }
},
{
  ""$group"": {
    ""_id"": {
      ""year"": {
        ""$year"": ""$Created""
      },
      ""month"": {
        ""$month"": ""$Created""
      },
      ""day"": {
        ""$dayOfMonth"": ""$Created""
      }
    },
    ""count"": {
      ""$sum"": 1
    }
  }
}
</code></pre>

<p>(Note the only change I really made was removing the array markers around it.)</p>

<p>Additionally, that error appears <em>any</em> time you put an aggregation with more than one operation in an array in MongoVUE. If you leave off the array, the operations work fine. If you add it, suddenly you get ""each item in the pipeline must be a document.""</p>
","3191640","","697819","","2014-01-28 19:34:43","2014-01-28 19:34:43","MongoDB Aggregation Error ""each item in the pipeline must be a document""","<mongodb><aggregation-framework><mongovue>","0","1","","",""
"32172288","1","","","2015-08-23 22:45:53","","3","174","<p>This type of question has been asked before but needs a serious update. I'm looking for an up-to-date mongodb gui that supports v3.0.x. Ideally it would also support connection to a MongoDB v3.0.x on a <code>mongos</code> instance over SSL.</p>

<p>AFAIK, none exist.</p>

<p>The most well maintained one that I've found was Robomongo but that is only supporting MongoDB v2.4 and as far as I can see from the Github, their release for v3.0.x support hasn't had much movement for many months.</p>

<p>Other GUIs, like MongoVue and RockMongo seem even more out of date.</p>

<p>Has anyone seen a good up-to-date GUI?</p>
","2697024","","","","","2015-08-23 23:38:59","Are there any up to date Mongo GUI's left?","<mongodb><robomongo><mongovue>","1","0","2","",""
"31206261","1","","","2015-07-03 11:54:31","","1","681","<p>I am running MongoDB on windows8.1 and created users for admin database. For convenience, I use mongoVUE to check data. But after turning on the ""auth"" function. I cannot logged in.</p>

<p>Actually, I can use the username and password to authenticate with mongo shell. Further more, I can also use them to authenticate by python codes. They failed to work only when I use mongoVUE or Robomongo.</p>

<p>When I clicked ""test"" button on mongoVUE, it returned a message ""Connection was refused"". And the windows command shell presents the following words:</p>

<blockquote>
  <p>2015-07-03T19:52:34.843+0800 I NETWORK  [initandlisten] connection
  accepted from
   127.0.0.1:24163 #242 (4 connections now open)</p>
  
  <p>2015-07-03T19:52:34.845+0800 I ACCESS   [conn242]  authenticate db:
  admin { auth enticate: 1, user: ""uvpaiad"", nonce: ""xxx"", key: ""xxx"" }</p>
  
  <p>2015-07-03T19:52:34.846+0800 I ACCESS   [conn242] Failed to
  authenticate uvpaiad @admin with mechanism MONGODB-CR:
  AuthenticationFailed MONGODB-CR credentials mi ssing in the user
  document</p>
  
  <p>2015-07-03T19:52:34.847+0800 I NETWORK  [conn242] end connection
  127.0.0.1:24163  (3 connections now open)</p>
</blockquote>

<p>Does anyone know what the matter is?</p>
","5047351","","787511","","2015-07-03 12:51:55","2016-10-19 13:57:43","Failed to connect MongoDB 3.X with MongoVUE","<mongodb><mongovue>","1","3","","",""
"29352370","1","29352701","","2015-03-30 17:21:39","","0","641","<p><strong>EDIT</strong>: NASA data can be accessed via the SODA API (see <a href=""https://data.nasa.gov/developer"" rel=""nofollow"">https://data.nasa.gov/developer</a>), and the API referred to below seems to be deprecated.</p>

<p>I'm trying to use the NASA API (<a href=""http://nasa.github.io/api-docs/#introduction"" rel=""nofollow"">http://nasa.github.io/api-docs/#introduction</a>) to pull information on NASA patents. The docs show what the JSON reponse should look like and list required parameters for the request, but I can't find any examples of a properly formed request URL. So far I have tried (with my API key):</p>

<pre><code>https://api.nasa.gov/patents/optics?api_key=API_KEY

https://api.nasa.gov/patents/optics.json?api_key=API_KEY
</code></pre>

<p>I tested the API key out on an example GET request URL for a different data.gov agency and it returned a valid JSON response, but I've had no luck with the NASA requests.</p>

<p>Does anyone know the proper request format for NASA info from the data.gov API?</p>
","1592764","","1592764","","2015-03-30 18:03:15","2015-03-30 18:03:15","Proper formatting for NASA API request URL","<json><get><data.gov>","2","0","1","",""
"2152108","1","2152123","","2010-01-28 03:28:29","","27","1019","<p>I'm working on an app to provide an easy way for people to track the status of a bill [and various other political information].  I love the idea of OpenCongress, for instance, which surfaces summary information on legislation as it navigates the political process, but I'd like it if it had a tag-based search system and some other rich search options, as well as more conveniently accessible voting history and term information.  And while they now have JavaScript widgets which show the current status of bills you select, I think more could be done in this regard.</p>

<p>I don't know where they get their data, though, and while they have an API of their own, I don't know whether sticking a wart onto it is the best way of implementing what I envision.  For all its touting of transparency, it's not at all obvious to me what data the government makes available, or even how to find that out!</p>

<p>So, does anyone know any good APIs for obtaining information on the status of American <em>legislation</em>, <em>legislators</em> (such as voting histories), <em>agencies</em> and/or upcoming <em>elections</em>?  (Or, if you think it's really interesting, feel free to post any other APIs that are relevant to U.S. politics.)</p>
","225176","","183528","","2010-12-04 22:38:16","2013-03-08 14:51:49","US Government APIs?","<api><language-agnostic><resources><egovernment>","4","8","12","",""
"1946279","1","1950966","","2009-12-22 13:07:19","","3","236","<p>Say, I have two users (U1, U2) mapped to two resource pools (R1, R2) and with max values as 20% and 80%. U1 executes a time consuming query that runs for say 15 minutes. When it started execution it was the only process and hence SQL server allocates full resources to this query. 5 minutes later U2 executes another query. Will Resource Governor reduce the resources of U1 to 20% and allow U2 to take 80% or will it wait for U1 to complete and then allow U2 80%.</p>

<p>I agree that the first case is what is expected but I saw <a href=""http://blog.namwarrizvi.com/?p=212"" rel=""nofollow noreferrer"">this post</a> and got curious. Please explain what will happen in the real scenario.</p>
","82961","","","","","2009-12-23 06:13:30","Does SQL Resource Governor re-allocate resources during execution of a query?","<sql><sql-server-2008><resource-governor>","1","0","0","",""
