Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId,Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,ProfileImageUrl,EmailHash,Age,AccountId,Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"66356342","39519965","1","You have to put all deps in a single, top-level vendor directory. Imports from different paths have different types, which are the errors you are seeing.","2016-09-15 21:03:23","","32880","32880","47299","2008-10-30 20:09:56","JimB","2017-07-11 12:14:38","http://www.google.com","Boston, MA","","2670","2836","3016","","","39","15526","39519965","1","","","2016-09-15 20:37:28","","0","86","<p>I use other project (Origin) vendor dir for small app (because they use older version of libs and its not compatible with current ones).
But i get these errors:</p>

<pre><code>argument to kclient.Namespaces().List                                                                                                                                                                           
[mangis@mj origin-goclient-example]$ go build                                                                                                                                                                  
# github.com/mangirdaz/origin-goclient-example                                                                                                                                                                 
./main.go:15: cannot use &amp;flags (type *""github.com/mangirdaz/origin-goclient-example/vendor/github.com/spf13/pflag"".FlagSet) as type *""github.com/openshift/origin/vendor/github.com/spf13/pflag"".FlagSet in ar
gument to ""github.com/openshift/origin/pkg/cmd/util/clientcmd"".New                                                                                                                                             
./main.go:29: cannot use ""github.com/mangirdaz/origin-goclient-example/vendor/k8s.io/kubernetes/pkg/api"".ListOptions literal (type ""github.com/mangirdaz/origin-goclient-example/vendor/k8s.io/kubernetes/pkg/a
pi"".ListOptions) as type ""github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api"".ListOptions in argument to osclient.Projects().List                                                                    
./main.go:37: cannot use ""github.com/mangirdaz/origin-goclient-example/vendor/k8s.io/kubernetes/pkg/api"".ListOptions literal (type ""github.com/mangirdaz/origin-goclient-example/vendor/k8s.io/kubernetes/pkg/a
pi"".ListOptions) as type ""github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api"".ListOptions in argument to osclient.BuildConfigs(""my-project"").List                                                    
./main.go:45: cannot use ""github.com/mangirdaz/origin-goclient-example/vendor/k8s.io/kubernetes/pkg/api"".ListOptions literal (type ""github.com/mangirdaz/origin-goclient-example/vendor/k8s.io/kubernetes/pkg/a
pi"".ListOptions) as type ""github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api"".ListOptions in argument to kclient.Pods(""my-project"").List                                                             
./main.go:56: cannot use ""github.com/mangirdaz/origin-goclient-example/vendor/k8s.io/kubernetes/pkg/api"".ListOptions literal (type ""github.com/mangirdaz/origin-goclient-example/vendor/k8s.io/kubernetes/pkg/a
pi"".ListOptions) as type ""github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api"".ListOptions in argument to kclient.Namespaces().List  
</code></pre>

<p>how to make govendor and ""code"" treat vendor dir properly? what I'm doing here wrong?</p>

<p>code example:</p>

<pre><code>import (
    ""fmt""
    ""log""

    flag ""github.com/spf13/pflag""

    ""github.com/openshift/origin/pkg/cmd/util/clientcmd""
    kapi ""k8s.io/kubernetes/pkg/api""
)

func main() {
    flags := flag.FlagSet{}
    factory := clientcmd.New(&amp;flags)
...
</code></pre>

<p>and it complains on flags being used wrongly. </p>
","4194833","","","","","2016-09-15 20:37:28","use Vendor from other project ?","<go><govendor>","0","2","","",""
"2099535","2152108","4","In the absence of comments from the people who voted to close (three after I posted the above) I am voting to reopen. The question is at least reasonably about programming, and has good, responsive answers.","2010-01-28 16:53:12","","2509","2509","70531","2008-08-22 15:36:54","dmckee","2017-07-11 06:49:32","http://inspirehep.net/search?p=FIND+AU+D+MCKEE+AND+NOT+AU+B.+D.+MCKEE","Duchy of Grand Fenwick","<p>Experimental nuclear and particle physicist. These days I'm teaching, but I've spent a lot of time on nucleon structure in fixed target electron scattering and neutrino oscillations using reactors and beam sources.</p>

<p>Ontology can take a flying leap if it obscures consequential behaviors.</p>
","9465","4846","1379","","","46","1827","2152108","1","2152123","","2010-01-28 03:28:29","","27","1019","<p>I'm working on an app to provide an easy way for people to track the status of a bill [and various other political information].  I love the idea of OpenCongress, for instance, which surfaces summary information on legislation as it navigates the political process, but I'd like it if it had a tag-based search system and some other rich search options, as well as more conveniently accessible voting history and term information.  And while they now have JavaScript widgets which show the current status of bills you select, I think more could be done in this regard.</p>

<p>I don't know where they get their data, though, and while they have an API of their own, I don't know whether sticking a wart onto it is the best way of implementing what I envision.  For all its touting of transparency, it's not at all obvious to me what data the government makes available, or even how to find that out!</p>

<p>So, does anyone know any good APIs for obtaining information on the status of American <em>legislation</em>, <em>legislators</em> (such as voting histories), <em>agencies</em> and/or upcoming <em>elections</em>?  (Or, if you think it's really interesting, feel free to post any other APIs that are relevant to U.S. politics.)</p>
","225176","","183528","","2010-12-04 22:38:16","2013-03-08 14:51:49","US Government APIs?","<api><language-agnostic><resources><egovernment>","4","8","12","",""
"2094903","2152108","5","InRe: close votes. The question seems to be of the category ""Is there an API for Foo and if so where do I get it?"" Is there a history of closing such questions as NPR?","2010-01-28 03:54:53","","2509","2509","70531","2008-08-22 15:36:54","dmckee","2017-07-11 06:49:32","http://inspirehep.net/search?p=FIND+AU+D+MCKEE+AND+NOT+AU+B.+D.+MCKEE","Duchy of Grand Fenwick","<p>Experimental nuclear and particle physicist. These days I'm teaching, but I've spent a lot of time on nucleon structure in fixed target electron scattering and neutrino oscillations using reactors and beam sources.</p>

<p>Ontology can take a flying leap if it obscures consequential behaviors.</p>
","9465","4846","1379","","","46","1827","2152108","1","2152123","","2010-01-28 03:28:29","","27","1019","<p>I'm working on an app to provide an easy way for people to track the status of a bill [and various other political information].  I love the idea of OpenCongress, for instance, which surfaces summary information on legislation as it navigates the political process, but I'd like it if it had a tag-based search system and some other rich search options, as well as more conveniently accessible voting history and term information.  And while they now have JavaScript widgets which show the current status of bills you select, I think more could be done in this regard.</p>

<p>I don't know where they get their data, though, and while they have an API of their own, I don't know whether sticking a wart onto it is the best way of implementing what I envision.  For all its touting of transparency, it's not at all obvious to me what data the government makes available, or even how to find that out!</p>

<p>So, does anyone know any good APIs for obtaining information on the status of American <em>legislation</em>, <em>legislators</em> (such as voting histories), <em>agencies</em> and/or upcoming <em>elections</em>?  (Or, if you think it's really interesting, feel free to post any other APIs that are relevant to U.S. politics.)</p>
","225176","","183528","","2010-12-04 22:38:16","2013-03-08 14:51:49","US Government APIs?","<api><language-agnostic><resources><egovernment>","4","8","12","",""
"35018600","22939005","0","works ! without """". Thanks","2014-04-08 13:52:12","","269867","269867","624","2010-02-09 21:59:41","user269867","2017-07-10 23:46:58","","San Diego, CA, United States","","215","120","1","","","","100040","22939005","1","","","2014-04-08 13:46:12","","0","66","<p>My document structure is as below</p>

<pre><code>  ""options"" : {
    ""fruit"" : {
      ""is"" : false,
    }
    ""vegetable"" :{
     ""is"":true,
    }
  }
</code></pre>

<p>I want to pick up all basket items which are vegetable ONLY</p>

<p>I tried</p>

<pre><code>{""options.vegetable.is"":""true""} //not working
{""options"":""vegetable""} // not working
</code></pre>

<p>I am using MongoVUE and trying with $eleMatch but still getting the syntax error..</p>
","269867","","","","","2014-04-08 13:56:59","how to query a nested document in mongo","<mongodb><mongovue>","0","2","","",""
"18591209","13564631","1","If MongoVUE allowed entering arbitrary db.runCommand() syntax then you would be able to run aggregation framework queries but I don't see that they have that capability.","2012-11-26 16:16:42","","431012","431012","30089","2010-08-25 17:32:53","Asya Kamsky","2017-07-10 17:31:44","http://askasya.com","San Francisco, CA","<p>Principal Solutions Architect for MongoDB Inc.</p>

<p>Answering questions and discussing MongoDB use cases on MongoDB Users Group at <a href=""https://groups.google.com/forum/#!forum/mongodb-user"" rel=""nofollow"">https://groups.google.com/forum/#!forum/mongodb-user</a></p>

<p>Posting ""stupid MongoDB tricks"" on <a href=""http://www.kamsky.org/stupid-tricks-with-mongodb.html"" rel=""nofollow"">http://www.kamsky.org/stupid-tricks-with-mongodb.html</a></p>

<p>Answering most interesting questions in details on <a href=""http://askasya.com"" rel=""nofollow"">http://askasya.com</a></p>
","4108","485","328","","","","190832","13564631","1","16641195","","2012-11-26 12:13:26","","6","3174","<p>Is there a way to use aggregation framework in the latest version of mongoVUE?</p>

<p>The only option which looks like an aggregation framework is GROUP option but I was not able to figure out how to use it.</p>

<p>Can someone tell me, am I looking in the right direction?
And If so, how I should write a query there.</p>

<p>P.S1 - it took me quite some time to be able to write MapReduce in mongoVUE</p>

<p>P.S2 - I am aware how to use aggregation framework from the shell. </p>
","1090562","","314291","","2015-11-11 10:12:15","2015-11-11 10:12:15","How do I use the aggregation framework in MongoVUE?","<mongodb><mongovue>","2","3","2","",""
"35018412","22939005","3","Did you try `{""options.vegetable.is"":true}`?  No double quotes around `true`","2014-04-08 13:47:55","","1128163","1128163","4809","2012-01-03 15:46:05","Anand Jayabalan","2017-06-16 15:49:45","","","<h1>SOreadytohelp</h1>
","233","36","2","","","","1145227","22939005","1","","","2014-04-08 13:46:12","","0","66","<p>My document structure is as below</p>

<pre><code>  ""options"" : {
    ""fruit"" : {
      ""is"" : false,
    }
    ""vegetable"" :{
     ""is"":true,
    }
  }
</code></pre>

<p>I want to pick up all basket items which are vegetable ONLY</p>

<p>I tried</p>

<pre><code>{""options.vegetable.is"":""true""} //not working
{""options"":""vegetable""} // not working
</code></pre>

<p>I am using MongoVUE and trying with $eleMatch but still getting the syntax error..</p>
","269867","","","","","2014-04-08 13:56:59","how to query a nested document in mongo","<mongodb><mongovue>","0","2","","",""
"2094937","2152108","0","@Arkaaito: The borderlands can be a little murky, and web-programming even more so. Sometimes web related questions are better addressed to doctype.com, though I would hold off on re-asking this question there. I have not paid close attention to this the treatment of ""What API?"" kinds of questions and don't know where the acknowledged boundaries lie.","2010-01-28 04:04:00","","2509","2509","70531","2008-08-22 15:36:54","dmckee","2017-07-11 06:49:32","http://inspirehep.net/search?p=FIND+AU+D+MCKEE+AND+NOT+AU+B.+D.+MCKEE","Duchy of Grand Fenwick","<p>Experimental nuclear and particle physicist. These days I'm teaching, but I've spent a lot of time on nucleon structure in fixed target electron scattering and neutrino oscillations using reactors and beam sources.</p>

<p>Ontology can take a flying leap if it obscures consequential behaviors.</p>
","9465","4846","1379","","","46","1827","2152108","1","2152123","","2010-01-28 03:28:29","","27","1019","<p>I'm working on an app to provide an easy way for people to track the status of a bill [and various other political information].  I love the idea of OpenCongress, for instance, which surfaces summary information on legislation as it navigates the political process, but I'd like it if it had a tag-based search system and some other rich search options, as well as more conveniently accessible voting history and term information.  And while they now have JavaScript widgets which show the current status of bills you select, I think more could be done in this regard.</p>

<p>I don't know where they get their data, though, and while they have an API of their own, I don't know whether sticking a wart onto it is the best way of implementing what I envision.  For all its touting of transparency, it's not at all obvious to me what data the government makes available, or even how to find that out!</p>

<p>So, does anyone know any good APIs for obtaining information on the status of American <em>legislation</em>, <em>legislators</em> (such as voting histories), <em>agencies</em> and/or upcoming <em>elections</em>?  (Or, if you think it's really interesting, feel free to post any other APIs that are relevant to U.S. politics.)</p>
","225176","","183528","","2010-12-04 22:38:16","2013-03-08 14:51:49","US Government APIs?","<api><language-agnostic><resources><egovernment>","4","8","12","",""
"2100068","2152108","1","OK, this is not strictly a technology question, but data sources are IMO a valid question, if we think about programming as ""creating experiences/applications"" and not just ""transforming bits from a to b"". My vote: this IS programming related.","2010-01-28 17:58:47","","49951","49951","11150","2008-12-29 19:44:01","Jaanus","2017-07-11 06:39:44","http://jaanus.com/","","<p>Design-driven engineer.</p>

<p>iOS. Mac. Web frontend and some backend. Pixel pushing. Gestures, animations, transitions.</p>
","2083","803","55","","","37","20774","2152108","1","2152123","","2010-01-28 03:28:29","","27","1019","<p>I'm working on an app to provide an easy way for people to track the status of a bill [and various other political information].  I love the idea of OpenCongress, for instance, which surfaces summary information on legislation as it navigates the political process, but I'd like it if it had a tag-based search system and some other rich search options, as well as more conveniently accessible voting history and term information.  And while they now have JavaScript widgets which show the current status of bills you select, I think more could be done in this regard.</p>

<p>I don't know where they get their data, though, and while they have an API of their own, I don't know whether sticking a wart onto it is the best way of implementing what I envision.  For all its touting of transparency, it's not at all obvious to me what data the government makes available, or even how to find that out!</p>

<p>So, does anyone know any good APIs for obtaining information on the status of American <em>legislation</em>, <em>legislators</em> (such as voting histories), <em>agencies</em> and/or upcoming <em>elections</em>?  (Or, if you think it's really interesting, feel free to post any other APIs that are relevant to U.S. politics.)</p>
","225176","","183528","","2010-12-04 22:38:16","2013-03-08 14:51:49","US Government APIs?","<api><language-agnostic><resources><egovernment>","4","8","12","",""
"50311046","31125486","0","thank you for your feedback. :)","2015-07-01 00:01:51","","1161429","1161429","2086","2012-01-20 20:34:50","CasualT","2017-07-08 01:07:32","http://dev.casualt.ca","Canada","<p>Computer Engineer (Masters). Canada.</p>

<p><strong>Languages</strong></p>

<ul>
<li>Java, PHP, C, Python, Matlab, &amp; other languages.</li>
</ul>

<p><strong>Cloud</strong></p>

<ul>
<li>Amazon Web Services &amp; Google Cloud</li>
</ul>

<p><strong>Mobile</strong></p>

<ul>
<li>Android Apps &amp; Libraries</li>
</ul>

<p><strong>Build Tools</strong></p>

<ul>
<li>Maven &amp; Gradle</li>
<li>Jenkins</li>
</ul>

<p><strong>Databases</strong></p>

<ul>
<li>Mongo, MySql, Dynamo, BigQuery</li>
</ul>

<p><strong>IDEs</strong></p>

<ul>
<li>Eclipse, IntelliJ</li>
</ul>
","133","156","17","https://www.gravatar.com/avatar/cac99307f361ad7f3a4a4fbf040e78c9?s=128&d=identicon&r=PG&f=1","","","1187843","31125486","1","31142776","","2015-06-29 21:00:35","","2","1459","<p>As of checking today, it looks like <a href=""http://www.mongovue.com/"" rel=""nofollow"">http://www.mongovue.com/</a>, is down.</p>

<p>Was wondering if anyone knew if this was being deprecated or an appropriate transition plan if that is not the case?</p>

<p>Thank you in advance.</p>
","1161429","","1161429","","2015-06-30 16:30:28","2016-12-20 16:59:45","Unable to download mongovue","<mongodb><mongovue>","1","5","","",""
"50296840","31125486","1","Would it help if I reworded it to be: ""Am having issues downloading mongovue, help?""","2015-06-30 16:02:52","","1161429","1161429","2086","2012-01-20 20:34:50","CasualT","2017-07-08 01:07:32","http://dev.casualt.ca","Canada","<p>Computer Engineer (Masters). Canada.</p>

<p><strong>Languages</strong></p>

<ul>
<li>Java, PHP, C, Python, Matlab, &amp; other languages.</li>
</ul>

<p><strong>Cloud</strong></p>

<ul>
<li>Amazon Web Services &amp; Google Cloud</li>
</ul>

<p><strong>Mobile</strong></p>

<ul>
<li>Android Apps &amp; Libraries</li>
</ul>

<p><strong>Build Tools</strong></p>

<ul>
<li>Maven &amp; Gradle</li>
<li>Jenkins</li>
</ul>

<p><strong>Databases</strong></p>

<ul>
<li>Mongo, MySql, Dynamo, BigQuery</li>
</ul>

<p><strong>IDEs</strong></p>

<ul>
<li>Eclipse, IntelliJ</li>
</ul>
","133","156","17","https://www.gravatar.com/avatar/cac99307f361ad7f3a4a4fbf040e78c9?s=128&d=identicon&r=PG&f=1","","","1187843","31125486","1","31142776","","2015-06-29 21:00:35","","2","1459","<p>As of checking today, it looks like <a href=""http://www.mongovue.com/"" rel=""nofollow"">http://www.mongovue.com/</a>, is down.</p>

<p>Was wondering if anyone knew if this was being deprecated or an appropriate transition plan if that is not the case?</p>

<p>Thank you in advance.</p>
","1161429","","1161429","","2015-06-30 16:30:28","2016-12-20 16:59:45","Unable to download mongovue","<mongodb><mongovue>","1","5","","",""
