Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,ProfileImageUrl,EmailHash,Age,AccountId
"5252","1","","","2015-05-14 13:18:19","","4","59","<p>Hopefully it would include species, manufacturer, withdrawal and whether for treatment, control, prevention or growth promotant/feed efficiency - although that info would usually be on the label. </p>
","6507","","2976","","2015-05-15 12:26:40","2015-05-31 13:39:43","Is there an API to get label info on veterinary drugs for farm animals?","<data-request><data.gov>","1","0","","","","6507","21","2015-05-14 13:18:19","Ralph F.","2015-05-16 18:41:45","","","","0","0","0","","","","6307286"
"758","1","","","2013-06-11 18:03:52","","5","105","<p>Currently the Animal Care Information System Search Tool located at (<a href=""http://acissearch.aphis.usda.gov/LPASearch/faces/CustomerSearch.jspx"" rel=""nofollow"">http://acissearch.aphis.usda.gov/LPASearch/faces/CustomerSearch.jspx</a>) provides visitors with the ability to perform a number of queries against  Animal and Plant Health Inspection Reports. It is a fairly robust tool for getting info on reports that have been logged as little as 3 days ago. However it does not, to my knowledge, permit programmatic access and I have not seen where an API is available. </p>

<p>If you have any knowledge of how I might gain access to the data in these reports to create my own queries, say a REST API, or if there is a regular dump of this data made somewhere, please let me know!</p>

<p>I checked on data.gov. There was a link that pointed to a zip file of PDF files. These files, also visible when drilling into results on the Search page, are image based PDF files making them impossible to read with a screen reader even let alone a scraper. At any rate that is now a dead link. The email contact for the data bounces and the webmaster email for the APHIS site also bounces.</p>
","750","","41","","2013-06-16 11:44:55","2017-02-05 16:54:02","Availability of APHIS Data as API or bulk dump","<data-request><usa><data.gov>","3","0","1","","","750","26","2013-06-04 21:33:07","user1149168","2017-07-01 02:56:01","","","","0","0","0","","","","1172254"
"3449","1","3452","","2014-07-29 16:42:27","","3","59","<p>I am trying to track down how many veterans have been and are currently in Congress</p>

<p>The closest thing I have found is this <a href=""http://www.hqafsa.org/aoc/113.pdf"" rel=""nofollow"">PDF</a> but it only gives me the 113 congress I would like to find something a little bit easier to machine read, and also a little more complete with past data so I can develop a proper graphical depiction.</p>

<p>Any help is appreciated.</p>

<p>Thanks,</p>
","2545","","2545","","2014-07-30 12:36:38","2014-07-30 12:36:38","How many Veterans have been or are currently in Congress","<data-request><government><data.gov>","1","0","","","","2545","150","2014-03-25 16:58:49","user3271518","2014-08-15 18:03:25","","","","0","1","0","https://www.gravatar.com/avatar/ae0b952fd5fb102faca04b6ab6eab773?s=128&d=identicon&r=PG&f=1","","","3965404"
"7635","1","","","2016-04-25 13:00:00","","1","657","<p>In the UK we have open data which gives up to date information on house transactions. This includes the address of the home and the price it sold for. It includes detailed data on the type of property. It does not include names of those involved etc.</p>

<p>Is there any similar data open or otherwise for the US?</p>
","11168","","4184","","2017-05-05 21:38:24","2017-05-05 21:38:24","US House Sale Data","<data-request><data.gov><real-estate>","4","0","","","","11168","6","2016-04-25 12:57:58","user3818253","2016-07-21 20:24:07","","","","0","0","0","https://graph.facebook.com/100002844977477/picture?type=large","","","4720083"
"7576","1","","","2016-04-20 10:27:51","","1","20","<p>I am not able to find the some data sets on the new GIOVANNI portal.
Sample file names of the data I had downloaded a year ago from the portal are given below. I am not able to find same file names or file names which match description. </p>

<p>TRMM_3B43_ACC.007_20141101_000000.G3.txt
GLDAS_NOAH10_M.001.soilm4.201404.G3.input.txt
GLDAS_NOAH10_M.001.swe.200205.G3.input.txt</p>
","11089","","90","","2016-04-20 12:20:26","2016-04-20 12:20:26","data.gov GIOVANNI Portal Data Missing","<data.gov>","0","1","","","","11089","6","2016-04-20 10:27:51","Harika","2016-04-20 10:27:51","","","","0","0","0","","","","8286738"
"7555","1","7691","","2016-04-18 10:37:55","","2","79","<p>I`m working on Communication System Modeling. In order to be more accurate, I want to know urban buildings height or distribution.</p>

<p>Anyone knows where I could find them?</p>
","11057","","","","","2016-05-01 14:09:09","buildings height data","<data-request><data.gov>","1","1","","","","11057","13","2016-04-18 10:31:20","michael","2017-05-03 02:26:03","","","","0","0","0","https://www.gravatar.com/avatar/588d3dec671c8570996a85890f8f8bc6?s=128&d=identicon&r=PG&f=1","","","8271792"
"9297","1","11113","","2016-07-22 21:47:10","","1","146","<p>When querying the college score card, data for all years are returned, how do I query to return all data for a given year?</p>
","13094","","2976","","2016-07-22 21:58:38","2017-04-30 07:10:11","How do we query the college score card and just get all data but only for a given year?","<data.gov><collegescorecard>","2","0","","","","13094","8","2016-07-22 21:45:39","Mark Alan Evans","2017-06-09 22:09:51","http://www.markalanevans.com","Ventura, CA","","1","0","0","https://i.stack.imgur.com/WpOjA.png?s=128&g=1","","35","1644290"
"5293","1","","","2015-05-20 18:35:43","","3","53","<p>I'm trying to find a report of federal early childhood education funding levels by state, by year. Any ideas?</p>
","6564","","90","","2015-05-20 20:36:41","2015-05-20 20:36:41","Federal early childhood education funding","<data.gov><education>","1","0","1","","","6564","16","2015-05-20 18:34:25","Shannon McClure","2015-05-20 19:54:07","","","","0","0","0","https://graph.facebook.com/10153355625259439/picture?type=large","","","6339312"
"1969","1","2005","","2014-04-29 14:20:26","","6","295","<p>I am trying to gather the total population of Pittsburgh and overlay it onto a Google Map.  I took the Census Tract .shp files from <a href=""http://www.census.gov/geo/maps-data/data/gazetteer2010.html"">http://www.census.gov/geo/maps-data/data/gazetteer2010.html</a> and put them in a fusion table and then ran the census API for total population </p>

<pre><code>http://api.census.gov/data/2010/acs5?key=XXXX&amp;get=B01003_001E&amp;for=tract:*&amp;in=state:42+county:003
</code></pre>

<p>Then I took that information and uploaded it into another google Fusion table and linked the tract information letting me pull in the population numbers and link it to the kml data.  </p>

<p>I have my outcome hung here <a href=""http://codepen.io/fpcond/pen/IvJDA?editors=101"">http://codepen.io/fpcond/pen/IvJDA?editors=101</a> </p>

<p>My question is: How accurate is this? I ask because when I click on the polygons some of the population numbers seem really low for the size of the area.  </p>

<p>Thanks</p>
","2545","","18","","2015-03-13 20:27:48","2015-03-13 20:27:48","Accurately Using Census Tract Data and Total Population","<government><data.gov><geospatial><us-census><geocoding>","1","1","1","","","2545","150","2014-03-25 16:58:49","user3271518","2014-08-15 18:03:25","","","","0","1","0","https://www.gravatar.com/avatar/ae0b952fd5fb102faca04b6ab6eab773?s=128&d=identicon&r=PG&f=1","","","3965404"
"1251","1","","","2013-11-03 23:30:15","","8","64","<p>While there are some nice APIs for campaign finance at the federal level, they differ significantly.</p>

<ul>
<li><a href=""https://www.opensecrets.org/resources/create/api_doc.php"">https://www.opensecrets.org/resources/create/api_doc.php</a></li>
<li><a href=""http://developer.nytimes.com/docs/campaign_finance_api/"">http://developer.nytimes.com/docs/campaign_finance_api/</a></li>
<li><a href=""http://sunlightlabs.github.io/datacommons/"">http://sunlightlabs.github.io/datacommons/</a></li>
</ul>

<p>Have there been any attempts to define a data standard for campaign finance?</p>
","33","","244","","2014-05-26 00:34:08","2014-05-26 00:34:08","Data Standards for Campaign Finance","<data.gov><standards><elections>","1","0","","","","33","3545","2013-05-08 19:12:02","fgregg","2017-07-20 03:17:27","","","","28","374","3","","","","34687"
